name,name_id,edu_type,university,university_id,qualification,award_date
Michael Klein,766934,Education,New York University (NYU),61424,BS,1986-01-01
Michael Klein,766934,Education,Harvard Business School,63013,MBA,1991-01-01
Luis Lora,766935,Education,Massachusetts Institute of Technology (MIT) Sloan School of Management,63283,MBA,2000-01-01
Luis Lora,766935,Education,Harvard University,63830,AB,1994-01-01
Angus Littlejohn Jr,766937,Education,University of Pennsylvania,62579,BS,1973-01-01
Colleen Kelly,766938,Education,Bryant & Stratton College (Formerly known as Bryant and Stratton Business Institute),594674,Degree,
James Castanino,766939,Education,Johns Hopkins University School for Advanced International Studies (SAIS),606498,MA,2006-01-01
James Castanino,766939,Education,Harvard University,63830,AB (cum laude),1999-01-01
Ivelisse Simon,766940,Education,University of Illinois (UIC),62367,BS (Hons),1997-01-01
Ivelisse Simon,766940,Education,Harvard Business School,63013,MBA,2004-01-01
Richard Maybaum,766941,Education,American University Washington,60049,JD,1988-01-01
Richard Maybaum,766941,Education,Columbia University,60434,MBA,1992-01-01
Richard Maybaum,766941,Education,University of Rochester,62633,BA (Cum Laude),1985-01-01
Melissa Kinasewitz,766942,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Melissa Kinasewitz,766942,Education,University of Connecticut,62265,BSBA (cum laude),1996-01-01
Jon Kinney,766945,Education,Columbia Business School,63118,MBA,2009-01-01
Jon Kinney,766945,Education,University of Wisconsin-Madison School of Business,487982,BBA,2001-01-01
Jon Kinney,766945,Education,LMU Entrepreneurship Center Ludwig Maximilians Universitt Mnchen (Ludwig Maximilians University of Munich),1450738,Attended,
Tony Miranda,766946,Education,Harvard College,63125,AB (Hons),
Tony Miranda,766946,Education,Stanford University Graduate School of Business,67360,MBA,
Rick Weil,766947,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Rick Weil,766947,Education,Goizueta Business School Emory University,104642,MBA,1999-01-01
Rick Weil,766947,Education,Emory University,60627,BBA,1994-01-01
Sanjeev Krishnan,766948,Education,London School of Economics (LSE) (London School of Economics and Political Science),38522,BSc,2000-01-01
Ichiro Osumi,766949,Education,Stanford University,61935,BA,2001-01-01
Ichiro Osumi,766949,Education,Wharton School University of Pennsylvania,64966,MBA,2008-01-01
Rafael Ortiz,766950,Education,Georgia Institute of Technology (GIT),60751,BS,1998-01-01
Rafael Ortiz,766950,Education,Stanford University Graduate School of Business,67360,MBA,2006-01-01
Steven Raich,766951,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,CPA,
Steven Raich,766951,Education,Leonard N Stern School of Business New York University,42226,MBA (Distinction),
Steven Raich,766951,Education,Duke University,60547,BA (Cum Laude),
Kara Kirby,766953,Education,Cleveland State University,60385,Master of Labour Relations and Human Resources (MLRHR),
Kara Kirby,766953,Education,University of Akron,62134,BS,
Doctor Joyce Tsang,766954,Professional Qualifications,Scripps Research Institute (The),99012,PhD,1996-01-01
Doctor Joyce Tsang,766954,Education,Princeton University,61632,AB (cum laude),
Eileen Kirkwood,766956,Professional Qualifications,Institute of Chartered Financial Analysts (ICFA) (USA),41274,CFA,
Eileen Kirkwood,766956,Education,London Business School,61171,MBA,2001-01-01
Eileen Kirkwood,766956,Education,University of Wisconsin,63062,BBA,1991-01-01
Tracey Rudd,766958,Education,Northwestern University,61494,Studied,
Tracey Rudd,766958,Education,University of Texas at Austin,62742,MBA,
Brian Ramsay,766959,Education,University of Virginia,62777,BA,1990-01-01
Brian Ramsay,766959,Education,Harvard Business School,63013,MBA,1997-01-01
Pat DeAngelis,766960,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Pat DeAngelis,766960,Education,Rider University,82615,Graduated,
Pat DeAngelis,766960,Education,St Peters College New Jersey,63463,BS,1978-01-01
Pat DeAngelis,766960,Education,Pace University,61563,MS,1986-01-01
T Sen,766963,Education,Dartmouth College,60488,AB,2000-01-01
Rachael Halstuk Mangoubi,766964,Professional Qualifications,Financial Industry Regulatory Authority (FINRA),955132,Accredited Investment Fiduciary (AIF),
Rachael Halstuk Mangoubi,766964,Education,Duke University,60547,BS (cum laude),2003-01-01
Rachael Halstuk Mangoubi,766964,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Financial Planner,
Pam Koberg,766965,Education,Cuyahoga Community College,84907,Associate Degree,
John Earhart,766966,Education,California State University Sacramento,745378,BA,
John Earhart,766966,Education,Yale School of Forestry & Environmental Studies (FES),1354550,Master of Forestry (MF),
Korvyakov Podolsky,766968,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,1998-01-01
Korvyakov Podolsky,766968,Education,Freed Hardeman University,131797,BBA (summa cum laude),1998-01-01
David Douglass,766969,Education,Stanford University Graduate School of Business,67360,MBA,1978-01-01
David Douglass,766969,Education,Stanford University School of Education,863758,MA,1979-01-01
David Douglass,766969,Education,Amherst College,60055,BA (Cum Laude),1974-01-01
Rob Sherman,766970,Education,Amherst College,60055,Graduated,
Rob Sherman,766970,Education,Harvard Business School,63013,MBA,
John Maroney,766971,Education,University of California,63186,BS,1975-01-01
Doctor Karen Hong,766972,Education,University of California Berkeley,62215,BA (Hons),1993-01-01
Doctor Karen Hong,766972,Education,University of California Berkeley,62215,BS (Hons),
Doctor Karen Hong,766972,Education,Massachusetts Institute of Technology (MIT),40436,PhD,2001-01-01
David Simon,766973,Education,Wharton School University of Pennsylvania,64966,BS (magna Cum Laude),1995-01-01
David Simon,766973,Education,Wharton School University of Pennsylvania,64966,MBA (Hons),2001-01-01
Adam Oakley,766974,Education,University of Michigan,63187,BBA,2002-01-01
Adam Oakley,766974,Education,Kellogg School of Management Northwestern University,77878,MBA,2012-01-01
John Ramos,766975,Education,University of Colorado,63056,BA,
John Ramos,766975,Education,University of Colorado,63056,MSc,
David Kralic,766976,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
David Kralic,766976,Education,Ohio State University Fisher College of Business,466838,MBA,1991-01-01
David Kralic,766976,Education,Ohio State University (OSU),61523,BS,1987-01-01
Jee Shin,766978,Education,University of Washington,62785,BA,1990-01-01
Jee Shin,766978,Education,Stanford University Graduate School of Business,67360,MBA,1998-01-01
Andrew Krejsa,766979,Education,Baldwin Wallace University (Baldwin-Wallace College prior to 07/2012),60122,Bachelor's Degree,2000-01-01
Marty Hernon,766980,Education,University of Maryland College Park,62449,MA,
Marty Hernon,766980,Education,Georgetown University Law Center,79195,JD,
Marty Hernon,766980,Education,Boston College,60193,BA,
Ken Fenner,766981,Professional Qualifications,Certified General Accountants Association of Canada (CGA),83028,Certified General Accountant,
Ken Fenner,766981,Education,Malaspina College,1197729,Studied,
Ken Fenner,766981,Education,University of Victoria,62774,Studied,
Matt Potter,766982,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Matt Potter,766982,Education,California Polytechnic State University San Luis Obispo (Cal Poly San Luis Obispo),60249,BS,
Ok Lee,766983,Education,University of Texas at Austin,62742,Bachelor's Degree,
Ok Lee,766983,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,CPA,
Ok Lee,766983,Education,University of Texas at Austin,62742,Masters Degree,
Vince Tuohey,766984,Education,University of Cambridge,60268,MPhil,2002-01-01
Vince Tuohey,766984,Education,Harvard College,63125,BA (magna cum laude),2001-01-01
Vince Tuohey,766984,Education,Harvard Business School,63013,MBA,2008-01-01
Keith Haan,766985,Education,Northwestern University,61494,BA,1997-01-01
Keith Haan,766985,Education,Northwestern University,61494,PhD,2001-01-01
Michael Simon,766987,Education,Loyola University Chicago,1578750,BBA,2001-01-01
Michael Simon,766987,Education,Stephen M Ross School of Business University of Michigan (University of Michigan Business School prior to 09/2004),747221,MBA,2005-01-01
Charles Phillips IV,766988,Education,Harvard Business School,63013,MBA,1997-01-01
Charles Phillips IV,766988,Education,Harvard College,63125,AB,1993-01-01
Doug Roeder,766989,Education,Dartmouth College,60488,AB,1993-01-01
Jorge Ramrez,766992,Education,Harvard Business School,63013,MBA,2003-01-01
Jorge Ramrez,766992,Education,Amherst College,60055,BA (magna cum laude),1997-01-01
Ken Warren,766993,Education,Rutgers School of Law,99907,JD (Hons),
Ken Warren,766993,Education,Providence College,61633,BS,
Ken Warren,766993,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,CPA,
Richard Petrocelli,766994,Education,Leonard N Stern School of Business New York University,42226,MBA,1999-01-01
Richard Petrocelli,766994,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Richard Petrocelli,766994,Education,Georgetown University,60750,BSBA,1990-01-01
